accuracy,loss,val_accuracy,val_loss,learning_rate
0.43408888578414917,1.5552029609680176,0.4896000027656555,1.4341431856155396,0.0010000000474974513
0.56413334608078,1.2285348176956177,0.5741999745368958,1.2039510011672974,0.0010000000474974513
0.6140221953392029,1.0935810804367065,0.5802000164985657,1.2537152767181396,0.0010000000474974513
0.6455110907554626,1.009855031967163,0.6674000024795532,0.9474031329154968,0.0010000000474974513
0.6732666492462158,0.9433789253234863,0.6725999712944031,0.9553139805793762,0.0010000000474974513
0.6895333528518677,0.8954203128814697,0.7178000211715698,0.8098432421684265,0.0010000000474974513
0.7042666673660278,0.8537395000457764,0.6650000214576721,1.0145014524459839,0.0010000000474974513
0.717555582523346,0.8231754302978516,0.7008000016212463,0.8830549120903015,0.0010000000474974513
0.7432000041007996,0.7544691562652588,0.7455999851226807,0.758843183517456,0.0005000000237487257
0.7463333606719971,0.7343864440917969,0.7346000075340271,0.81110680103302,0.0005000000237487257
0.7520666718482971,0.7196993231773376,0.746999979019165,0.7603906989097595,0.0005000000237487257
0.757888913154602,0.7065278887748718,0.7609999775886536,0.7008950114250183,0.0005000000237487257
0.7592222094535828,0.7003706693649292,0.776199996471405,0.6621351838111877,0.0005000000237487257
0.7653999924659729,0.6835685968399048,0.7738000154495239,0.6740550398826599,0.0005000000237487257
0.765999972820282,0.68093341588974,0.7919999957084656,0.6278432607650757,0.0005000000237487257
0.766955554485321,0.6752163171768188,0.7932000160217285,0.6141453385353088,0.0005000000237487257
0.7712222337722778,0.6662427186965942,0.7603999972343445,0.7050103545188904,0.0005000000237487257
0.7746444344520569,0.6537739038467407,0.7843999862670898,0.635356605052948,0.0005000000237487257
0.7835333347320557,0.6289799213409424,0.7997999787330627,0.5985897183418274,0.0002500000118743628
0.7878444194793701,0.6185963749885559,0.7972000241279602,0.6022577881813049,0.0002500000118743628
0.7909111380577087,0.6116140484809875,0.7731999754905701,0.6672822833061218,0.0002500000118743628
0.7967777848243713,0.5940285325050354,0.8046000003814697,0.5870321989059448,0.0001250000059371814
0.7973111271858215,0.5893653035163879,0.803600013256073,0.5883001685142517,0.0001250000059371814
0.7981555461883545,0.590811014175415,0.8015999794006348,0.5931128263473511,0.0001250000059371814
0.8014222383499146,0.5790975093841553,0.8019999861717224,0.6000373363494873,6.25000029685907e-05
0.8037333488464355,0.5747101902961731,0.8101999759674072,0.5703247785568237,6.25000029685907e-05
0.8013555407524109,0.5841692090034485,0.8080000281333923,0.5727080702781677,6.25000029685907e-05
0.8047555685043335,0.5668497085571289,0.8029999732971191,0.5877993106842041,6.25000029685907e-05
0.8073777556419373,0.5629331469535828,0.8083999752998352,0.5720677375793457,3.125000148429535e-05
0.8069999814033508,0.5692768096923828,0.8122000098228455,0.5569313764572144,3.125000148429535e-05
0.8058666586875916,0.5677749514579773,0.8151999711990356,0.5490127205848694,3.125000148429535e-05
0.8071333169937134,0.5616813898086548,0.8083999752998352,0.5601660013198853,3.125000148429535e-05
0.8073111176490784,0.5646495819091797,0.8136000037193298,0.5501189827919006,3.125000148429535e-05
0.80522221326828,0.5645979642868042,0.8105999827384949,0.5582118034362793,1.5625000742147677e-05
0.8097555637359619,0.5588058829307556,0.8098000288009644,0.5614833235740662,1.5625000742147677e-05
0.8086444735527039,0.5618537068367004,0.8091999888420105,0.5577962398529053,7.812500371073838e-06
