accuracy,loss,val_accuracy,val_loss
0.45840001106262207,1.4926091432571411,0.550599992275238,1.3042138814926147
0.5994444489479065,1.1304113864898682,0.6322000026702881,1.0625301599502563
0.6619555354118347,0.9640188217163086,0.6650000214576721,0.9792896509170532
0.7033555507659912,0.8507672548294067,0.678600013256073,0.9443913102149963
0.7315999865531921,0.7651872634887695,0.6953999996185303,0.8758801817893982
0.7580000162124634,0.6944535374641418,0.7008000016212463,0.8649557828903198
0.7794444561004639,0.6278318166732788,0.7178000211715698,0.8367979526519775
0.8024444580078125,0.5642198920249939,0.7062000036239624,0.899273157119751
0.8218888640403748,0.5101770162582397,0.7057999968528748,0.9036110639572144
0.8410666584968567,0.45169469714164734,0.729200005531311,0.8928308486938477
0.8580666780471802,0.3989577293395996,0.7246000170707703,0.8965590596199036
0.8767555356025696,0.34798336029052734,0.7184000015258789,1.0030673742294312
